model,data_source,k,task_a,task_b,jaccard
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,employees_count_total,headquarters_city,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,employees_count_total,headquarters_state,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,employees_count_total,holder_record_amount,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,employees_count_total,incorporation_state,0.640000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,employees_count_total,incorporation_year,0.640000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,employees_count_total,registrant_name,0.390000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_city,headquarters_state,1.000000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_city,holder_record_amount,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_city,incorporation_state,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_city,incorporation_year,0.640000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_city,registrant_name,0.640000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_state,holder_record_amount,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_state,incorporation_state,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_state,incorporation_year,0.640000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,headquarters_state,registrant_name,0.640000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,holder_record_amount,incorporation_state,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,holder_record_amount,incorporation_year,0.490000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,holder_record_amount,registrant_name,0.420000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,incorporation_state,incorporation_year,0.780000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,incorporation_state,registrant_name,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,incorporation_year,registrant_name,0.490000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,ceo_lastname,employees_count_total,0.570000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,ceo_lastname,headquarters_city,0.480000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,ceo_lastname,headquarters_state,0.500000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,ceo_lastname,holder_record_amount,0.550000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,ceo_lastname,incorporation_state,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,ceo_lastname,incorporation_year,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,ceo_lastname,registrant_name,0.550000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,employees_count_total,headquarters_city,0.500000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,employees_count_total,headquarters_state,0.550000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,employees_count_total,holder_record_amount,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,employees_count_total,incorporation_state,0.570000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,employees_count_total,incorporation_year,0.570000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,employees_count_total,registrant_name,0.390000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_city,headquarters_state,0.920000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_city,holder_record_amount,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_city,incorporation_state,0.660000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_city,incorporation_year,0.630000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_city,registrant_name,0.550000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_state,holder_record_amount,0.630000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_state,incorporation_state,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_state,incorporation_year,0.660000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,headquarters_state,registrant_name,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,holder_record_amount,incorporation_state,0.660000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,holder_record_amount,incorporation_year,0.630000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,holder_record_amount,registrant_name,0.430000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,incorporation_state,incorporation_year,0.960000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,incorporation_state,registrant_name,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,incorporation_year,registrant_name,0.430000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,ceo_lastname,employees_count_total,0.620000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,ceo_lastname,headquarters_city,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,ceo_lastname,headquarters_state,0.510000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,ceo_lastname,holder_record_amount,0.620000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,ceo_lastname,incorporation_state,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,ceo_lastname,incorporation_year,0.560000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,ceo_lastname,registrant_name,0.540000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,employees_count_total,headquarters_city,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,employees_count_total,headquarters_state,0.520000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,employees_count_total,holder_record_amount,0.560000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,employees_count_total,incorporation_state,0.560000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,employees_count_total,incorporation_year,0.580000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,employees_count_total,registrant_name,0.470000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_city,headquarters_state,0.880000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_city,holder_record_amount,0.510000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_city,incorporation_state,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_city,incorporation_year,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_city,registrant_name,0.580000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_state,holder_record_amount,0.490000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_state,incorporation_state,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_state,incorporation_year,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,headquarters_state,registrant_name,0.540000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,holder_record_amount,incorporation_state,0.540000
