K,model_a,model_b,n_heads_a,n_heads_b,abs_U_a,abs_U_b,intersection,head_pop_match,jaccard_obs,jaccard_rand_mean,jaccard_rand_p2.5,jaccard_rand_p97.5,jaccard_lift,jaccard_p,overlap_obs,overlap_rand_mean,overlap_rand_p2.5,overlap_rand_p97.5,overlap_lift,overlap_p
96,Mistral-7B-Instruct,OLMo-7B-Instruct,1024,1024,159,140,18,True,0.064057,0.078819,0.049123,0.111524,0.8127,0.847,0.128571,0.155586,0.1,0.214286,0.8264,0.847
128,Mistral-7B-Instruct,OLMo-7B-Instruct,1024,1024,197,172,27,True,0.078947,0.098283,0.069565,0.12844,0.8033,0.911,0.156977,0.191599,0.139535,0.244186,0.8193,0.911
8,Mistral-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,18,19,1,False,0.027778,0.010924,0.0,0.057143,2.5429,0.321,0.055556,0.021611,0.0,0.111111,2.5707,0.321
16,Mistral-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,33,40,2,False,0.028169,0.024038,0.0,0.057971,1.1719,0.511,0.060606,0.051242,0.0,0.121212,1.1827,0.511
32,Mistral-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,62,73,7,False,0.054688,0.044947,0.015038,0.08,1.2167,0.357,0.112903,0.093048,0.032258,0.16129,1.2134,0.357
48,Mistral-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,90,105,14,False,0.077348,0.065994,0.031746,0.101695,1.172,0.32,0.155556,0.133544,0.066667,0.2,1.1648,0.32
64,Mistral-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,113,132,23,False,0.103604,0.084731,0.051502,0.123853,1.2227,0.185,0.20354,0.16877,0.106195,0.238938,1.206,0.185
96,Mistral-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,159,175,36,False,0.120805,0.119223,0.08786,0.155709,1.0133,0.493,0.226415,0.223327,0.169654,0.283019,1.0138,0.493
128,Mistral-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,197,202,54,False,0.156522,0.145744,0.111421,0.180473,1.074,0.304,0.274112,0.257228,0.203046,0.309645,1.0656,0.304
8,OLMo-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,17,19,1,False,0.028571,0.012141,0.0,0.058824,2.3532,0.348,0.058824,0.024706,0.0,0.117647,2.381,0.348
16,OLMo-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,32,40,1,False,0.014085,0.023929,0.0,0.074627,0.5886,0.821,0.03125,0.051875,0.0,0.15625,0.6024,0.821
32,OLMo-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,60,73,3,False,0.023077,0.043348,0.015267,0.081301,0.5324,0.929,0.05,0.091483,0.033333,0.166667,0.5465,0.929
48,OLMo-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,80,105,6,False,0.03352,0.061098,0.027778,0.094675,0.5486,0.974,0.075,0.132587,0.0625,0.2,0.5657,0.974
64,OLMo-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,99,132,10,False,0.045249,0.077747,0.045249,0.115942,0.582,0.986,0.10101,0.167758,0.10101,0.242424,0.6021,0.986
96,OLMo-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,140,175,16,False,0.053512,0.110279,0.078767,0.145455,0.4852,1.0,0.114286,0.222986,0.164286,0.285714,0.5125,1.0
128,OLMo-7B-Instruct,Qwen2.5-7B-Instruct,1024,784,172,202,26,False,0.074713,0.134924,0.103164,0.16875,0.5537,1.0,0.151163,0.258058,0.203343,0.313953,0.5858,1.0
