Method,Task,K=0,K=8,K=16,K=32,K=48,K=64,K=96,K=128
QRScore-SEC,OVERALL,0.9115,0.5521,0.3958,0.2969,0.1719,0.3177,0.1771,0.0625
QRScore-SEC,registrant_name,1.0000,0.9167,0.7500,0.6250,0.2917,0.6250,0.0000,0.0417
QRScore-SEC,headquarters_city,0.9583,0.6250,0.3750,0.3333,0.2917,0.4167,0.2917,0.1667
QRScore-SEC,headquarters_state,0.8333,0.7500,0.7083,0.4583,0.1250,0.7083,0.5833,0.0417
QRScore-SEC,incorporation_state,1.0000,0.7917,0.6667,0.5833,0.3750,0.4583,0.3750,0.0833
QRScore-SEC,incorporation_year,0.8333,0.6250,0.4167,0.2083,0.0833,0.1250,0.0000,0.0000
QRScore-SEC,employees_count_total,0.9583,0.1667,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000
QRScore-SEC,ceo_lastname,0.9167,0.2083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
QRScore-SEC,holder_record_amount,0.7917,0.3333,0.2083,0.1667,0.2083,0.2083,0.1667,0.1667
