Method,Task,Baseline(K=0),Drop@K=8,Drop@K=16,Drop@K=32,Drop@K=48,Drop@K=64,Drop@K=96,Drop@K=128
QRScore-SEC,OVERALL,0.9115,0.3594,0.5156,0.6146,0.7396,0.5938,0.7344,0.8490
QRScore-SEC,registrant_name,1.0000,0.0833,0.2500,0.3750,0.7083,0.3750,1.0000,0.9583
QRScore-SEC,headquarters_city,0.9583,0.3333,0.5833,0.6250,0.6667,0.5417,0.6667,0.7917
QRScore-SEC,headquarters_state,0.8333,0.0833,0.1250,0.3750,0.7083,0.1250,0.2500,0.7917
QRScore-SEC,incorporation_state,1.0000,0.2083,0.3333,0.4167,0.6250,0.5417,0.6250,0.9167
QRScore-SEC,incorporation_year,0.8333,0.2083,0.4167,0.6250,0.7500,0.7083,0.8333,0.8333
QRScore-SEC,employees_count_total,0.9583,0.7917,0.9167,0.9583,0.9583,0.9583,0.9583,0.9583
QRScore-SEC,ceo_lastname,0.9167,0.7083,0.9167,0.9167,0.9167,0.9167,0.9167,0.9167
QRScore-SEC,holder_record_amount,0.7917,0.4583,0.5833,0.6250,0.5833,0.5833,0.6250,0.6250
