Source Task,On-Target Drop,Off-Target Mean Drop,Specificity Index,Surgicality Ratio
ceo_lastname,0.8333,0.4524,0.3810,1.8421
employees_count_total,0.9167,0.5000,0.4167,1.8333
headquarters_city,0.5000,0.5179,-0.0179,0.9655
headquarters_state,0.2083,0.6250,-0.4167,0.3333
holder_record_amount,0.6250,0.6250,0.0000,1.0000
incorporation_state,0.2917,0.5238,-0.2321,0.5568
incorporation_year,0.5833,0.5357,0.0476,1.0889
registrant_name,0.1667,0.3333,-0.1667,0.5000
